#,t_obs,tcf,"pi_beta(S, Ccf, tcf)","pi_beta(S, C, tcf)"
60,VLX150QD,V150-225,-0.06688324362039566,-0.053843047469854355
60,VLX150QD,V75-225,-0.1301480084657669,-0.1149938777089119
60,VLX150QD,VLX75QD,-0.0004324212786741555,-0.023122219368815422
61,VLX75QD,D60-120,0.1316002607345581,0.1297481209039688
61,VLX75QD,DLX60QD,0.07278543710708618,0.06872978806495667
61,VLX75QD,V150-225,0.026333272457122803,0.016955329105257988
61,VLX75QD,V75-225,-0.22172638773918152,-0.22341156005859375
61,VLX75QD,VLX150QD,0.1018286794424057,0.10827094316482544
62,VLX75QD,D60-120,0.0492580309510231,0.047088492661714554
62,VLX75QD,DLX60QD,0.11203981935977936,0.10301292687654495
62,VLX75QD,V150-225,-0.0006975861033424735,-0.004082051571458578
62,VLX75QD,V75-225,0.002970269648358226,-0.00440274877473712
62,VLX75QD,VLX150QD,0.06512954831123352,0.06178208068013191
63,D60-120,DLX60QD,0.06268702447414398,0.06578339636325836
63,D60-120,V150-225,0.020349333062767982,0.019368352368474007
63,D60-120,V75-225,-0.2045457810163498,-0.2036968469619751
63,D60-120,VLX150QD,0.09645198285579681,0.11319059133529663
63,D60-120,VLX75QD,0.08540812134742737,0.0929003581404686
64,D60-120,DLX60QD,0.08628205209970474,0.08423151075839996
64,D60-120,V150-225,0.01951695792376995,0.023610088974237442
64,D60-120,V75-225,-0.12381862103939056,-0.12788048386573792
64,D60-120,VLX150QD,0.03952161967754364,0.04281797632575035
64,D60-120,VLX75QD,-0.08837829530239105,-0.09217993915081024
65,VLX75QD,D60-120,0.1093701496720314,0.10463069379329681
65,VLX75QD,DLX60QD,0.062049686908721924,0.0521782711148262
65,VLX75QD,V150-225,-0.014027033932507038,-0.031072616577148438
65,VLX75QD,V75-225,-0.22621889412403107,-0.23512375354766846
65,VLX75QD,VLX150QD,0.07202739268541336,0.07042425870895386
66,V150-225,D60-120,0.0394572839140892,0.0410095676779747
66,V150-225,DLX60QD,0.20181450247764587,0.20523160696029663
66,V150-225,V75-225,-0.012957200407981873,0.009612586349248886
66,V150-225,VLX150QD,0.0779198557138443,0.08109908550977707
66,V150-225,VLX75QD,-0.17013922333717346,-0.17247119545936584
67,VLX75QD,D60-120,0.01030229777097702,0.007341543212532997
67,VLX75QD,DLX60QD,0.16877512633800507,0.16863110661506653
67,VLX75QD,V150-225,-0.005376274231821299,-0.0003544357605278492
67,VLX75QD,V75-225,-0.07324405014514923,-0.06907667219638824
67,VLX75QD,VLX150QD,0.06263657659292221,0.05869336426258087
68,VLX150QD,D60-120,0.07619290798902512,0.07950526475906372
68,VLX150QD,DLX60QD,0.16590246558189392,0.16387063264846802
68,VLX150QD,V150-225,-0.009055424481630325,-0.004914264660328627
68,VLX150QD,V75-225,0.0127076031640172,0.014750294387340546
68,VLX150QD,VLX75QD,0.06225098296999931,0.06497061252593994
69,D60-120,DLX60QD,0.055970657616853714,0.05591669678688049
69,D60-120,V150-225,0.0021051238290965557,-0.0027540321461856365
69,D60-120,V75-225,-0.24158349633216858,-0.2378418892621994
69,D60-120,VLX150QD,0.12880940735340118,0.1217879056930542
69,D60-120,VLX75QD,0.13146629929542542,0.13078239560127258
70,V75-225,D60-120,-0.020739711821079254,-0.023265346884727478
70,V75-225,DLX60QD,0.13635511696338654,0.13034069538116455
70,V75-225,V150-225,0.04133095592260361,0.02703693136572838
70,V75-225,VLX150QD,0.06371413171291351,0.06782875210046768
70,V75-225,VLX75QD,-0.0747489482164383,-0.061879970133304596
71,DLX60QD,D60-120,0.09759272634983063,0.09306313097476959
71,DLX60QD,V150-225,-0.005200197920203209,-0.0045730653218925
71,DLX60QD,V75-225,-0.23414793610572815,-0.2391578108072281
71,DLX60QD,VLX150QD,0.128248393535614,0.12955865263938904
71,DLX60QD,VLX75QD,0.12761938571929932,0.12716014683246613
72,DLX60QD,D60-120,0.04889018461108208,0.04920672997832298
72,DLX60QD,V150-225,0.07800187915563583,0.07983265817165375
72,DLX60QD,V75-225,0.019935492426156998,0.026622004806995392
72,DLX60QD,VLX150QD,0.07960264384746552,0.08416806906461716
72,DLX60QD,VLX75QD,-0.19302868843078613,-0.1924373358488083
73,VLX150QD,D60-120,0.1084878221154213,0.12175674736499786
73,VLX150QD,DLX60QD,0.05776967853307724,0.0685160756111145
73,VLX150QD,V150-225,-0.007029908709228039,0.006442552898079157
73,VLX150QD,V75-225,-0.2073393166065216,-0.19846805930137634
73,VLX150QD,VLX75QD,0.0772012323141098,0.0855422168970108
74,V75-225,D60-120,0.08341990411281586,0.07160315662622452
74,V75-225,DLX60QD,0.06245356798171997,0.06423808634281158
74,V75-225,V150-225,-0.024020712822675705,-0.030125707387924194
74,V75-225,VLX150QD,0.10903577506542206,0.09258485585451126
74,V75-225,VLX75QD,0.14090648293495178,0.13117390871047974
75,D60-120,DLX60QD,0.06586979329586029,0.07515740394592285
75,D60-120,V150-225,0.03340110927820206,0.035770706832408905
75,D60-120,V75-225,-0.22444657981395721,-0.21383321285247803
75,D60-120,VLX150QD,0.15799276530742645,0.17439791560173035
75,D60-120,VLX75QD,0.13052108883857727,0.15101760625839233
76,VLX75QD,D60-120,0.0763399600982666,0.08713424205780029
76,VLX75QD,DLX60QD,0.05149524658918381,0.0547063946723938
76,VLX75QD,V150-225,-0.05061880499124527,-0.04851483553647995
76,VLX75QD,V75-225,-0.21968798339366913,-0.21403399109840393
76,VLX75QD,VLX150QD,0.08181759715080261,0.09894587099552155
77,D60-120,DLX60QD,0.07632521539926529,0.07578346878290176
77,D60-120,V150-225,0.0048544807359576225,-0.0004457724280655384
77,D60-120,V75-225,-0.131452277302742,-0.13750532269477844
77,D60-120,VLX150QD,0.03456450626254082,0.03171591833233833
77,D60-120,VLX75QD,-0.12364770472049713,-0.12183842062950134
78,V75-225,D60-120,-0.03222424536943436,-0.03441214561462402
78,V75-225,DLX60QD,0.07427498698234558,0.0681687444448471
78,V75-225,V150-225,-0.003344649914652109,-0.008188789710402489
