#,t_obs,tcf,"pi_beta(S, Ccf, tcf)","pi_beta(S, C, tcf)"
304,V75-225,VLX75QD,0.09022383391857147,0.07153788208961487
305,VLX150QD,D60-120,0.12114395201206207,0.1215578243136406
305,VLX150QD,DLX60QD,0.05843557044863701,0.05904839560389519
305,VLX150QD,V150-225,0.018731961026787758,0.0143418088555336
305,VLX150QD,V75-225,-0.20943386852741241,-0.21082177758216858
305,VLX150QD,VLX75QD,0.10170279443264008,0.10483822971582413
306,VLX75QD,D60-120,0.1012648195028305,0.09124737977981567
306,VLX75QD,DLX60QD,0.06501920521259308,0.05244016274809837
306,VLX75QD,V150-225,0.010933341458439827,-0.004421583842486143
306,VLX75QD,V75-225,-0.24063317477703094,-0.25451895594596863
306,VLX75QD,VLX150QD,0.14190629124641418,0.13126587867736816
307,V75-225,D60-120,0.08825155347585678,0.09162379801273346
307,V75-225,DLX60QD,0.07418765872716904,0.07376611977815628
307,V75-225,V150-225,0.008459441363811493,-0.0007521775551140308
307,V75-225,VLX150QD,0.05168011784553528,0.05232448875904083
307,V75-225,VLX75QD,-0.055894672870635986,-0.05174868926405907
308,D60-120,DLX60QD,0.07104804366827011,0.07322287559509277
308,D60-120,V150-225,0.026453092694282532,0.027390940114855766
308,D60-120,V75-225,-0.23895494639873505,-0.23242661356925964
308,D60-120,VLX150QD,0.16705963015556335,0.16197994351387024
308,D60-120,VLX75QD,0.14664405584335327,0.1394922435283661
309,DLX60QD,D60-120,0.0639805868268013,0.06466207653284073
309,DLX60QD,V150-225,-0.018932709470391273,-0.01367662101984024
309,DLX60QD,V75-225,-0.14797112345695496,-0.1487167477607727
309,DLX60QD,VLX150QD,0.03757179528474808,0.04239537566900253
309,DLX60QD,VLX75QD,-0.08855485916137695,-0.09048628807067871
310,D60-120,DLX60QD,0.06670887768268585,0.05260089784860611
310,D60-120,V150-225,0.013728654012084007,-0.001579915639013052
310,D60-120,V75-225,-0.23662447929382324,-0.2489292025566101
310,D60-120,VLX150QD,0.15376690030097961,0.13572071492671967
310,D60-120,VLX75QD,0.1413678228855133,0.12374324351549149
311,D60-120,DLX60QD,0.12782646715641022,0.1285860538482666
311,D60-120,V150-225,-0.006309323012828827,-0.0023255939595401287
311,D60-120,V75-225,-0.03654313087463379,-0.0346812978386879
311,D60-120,VLX150QD,0.04801785200834274,0.039594102650880814
311,D60-120,VLX75QD,-0.2121075838804245,-0.22390469908714294
312,D60-120,DLX60QD,0.14169718325138092,0.1409212201833725
312,D60-120,V150-225,0.013719001784920692,0.0012895758263766766
312,D60-120,V75-225,0.049782056361436844,0.04649887606501579
312,D60-120,VLX150QD,0.08892885595560074,0.08452580869197845
312,D60-120,VLX75QD,-0.00012820027768611908,0.009614955633878708
313,VLX75QD,D60-120,0.009385443292558193,0.00562285678461194
313,VLX75QD,DLX60QD,0.15241524577140808,0.1441245824098587
313,VLX75QD,V150-225,-0.028575360774993896,-0.04675940424203873
313,VLX75QD,V75-225,-0.0980236828327179,-0.11512988060712814
313,VLX75QD,VLX150QD,0.05892481654882431,0.051496829837560654
314,VLX150QD,D60-120,0.05207034945487976,0.04061131924390793
314,VLX150QD,DLX60QD,0.08393511176109314,0.0742630809545517
314,VLX150QD,V150-225,0.017275983467698097,0.01114995963871479
314,VLX150QD,V75-225,-0.12079358100891113,-0.12151998281478882
314,VLX150QD,VLX75QD,-0.1113181859254837,-0.13732050359249115
315,VLX75QD,D60-120,0.08628295361995697,0.05530758947134018
315,VLX75QD,DLX60QD,0.054148852825164795,0.050611600279808044
315,VLX75QD,V150-225,-0.051235295832157135,-0.06706267595291138
315,VLX75QD,V75-225,-0.2295292317867279,-0.2294129580259323
315,VLX75QD,VLX150QD,0.09917806088924408,0.059927474707365036
316,V75-225,D60-120,0.11636362224817276,0.1191864088177681
316,V75-225,DLX60QD,0.062142420560121536,0.07101064175367355
316,V75-225,V150-225,0.020738406106829643,0.028877953067421913
316,V75-225,VLX150QD,0.12480304390192032,0.14277635514736176
316,V75-225,VLX75QD,0.11463421583175659,0.12378198653459549
317,DLX60QD,D60-120,-0.0060175578109920025,-0.010075287893414497
317,DLX60QD,V150-225,0.0322398841381073,0.04802209883928299
317,DLX60QD,V75-225,0.06747592985630035,0.08156540244817734
317,DLX60QD,VLX150QD,0.07367942482233047,0.07622005045413971
317,DLX60QD,VLX75QD,-0.02377263456583023,-0.03035276010632515
318,V75-225,D60-120,0.030222630128264427,0.03116470016539097
318,V75-225,DLX60QD,0.15501123666763306,0.15151262283325195
318,V75-225,V150-225,-0.018925976008176804,-0.02262561023235321
318,V75-225,VLX150QD,0.09233473241329193,0.0947670191526413
318,V75-225,VLX75QD,0.06396085023880005,0.07376082241535187
319,V75-225,D60-120,0.10818237066268921,0.09646547585725784
319,V75-225,DLX60QD,0.05920914560556412,0.04575778543949127
319,V75-225,V150-225,0.006821584887802601,-0.008894119411706924
319,V75-225,VLX150QD,0.11303102970123291,0.10364217311143875
319,V75-225,VLX75QD,0.12404175102710724,0.11051540076732635
320,VLX150QD,D60-120,0.07278021425008774,0.06242954730987549
320,VLX150QD,DLX60QD,0.09400808811187744,0.07925999164581299
320,VLX150QD,V150-225,0.018136199563741684,0.0018531749956309795
320,VLX150QD,V75-225,-0.025413144379854202,-0.051543280482292175
320,VLX150QD,VLX75QD,-0.00857070554047823,0.0012690764851868153
321,DLX60QD,D60-120,0.09589020162820816,0.09055465459823608
321,DLX60QD,V150-225,-0.005888806190341711,-0.006114108022302389
321,DLX60QD,V75-225,-0.23594704270362854,-0.23317115008831024
321,DLX60QD,VLX150QD,0.12477502971887589,0.12796251475811005
321,DLX60QD,VLX75QD,0.1313905268907547,0.13091647624969482
322,VLX75QD,D60-120,-0.010864262469112873,-0.0040572634898126125
322,VLX75QD,DLX60QD,0.05654328316450119,0.04127734899520874
322,VLX75QD,V150-225,-0.06826291233301163,-0.07969429343938828
322,VLX75QD,V75-225,-0.1286155879497528,-0.1463850438594818
322,VLX75QD,VLX150QD,0.07183872163295746,0.085604727268219
323,VLX150QD,D60-120,0.053968679159879684,0.04249677062034607
323,VLX150QD,DLX60QD,0.21037831902503967,0.20501357316970825
323,VLX150QD,V150-225,0.09318242967128754,0.09990732371807098
323,VLX150QD,V75-225,0.03674069792032242,0.025865649804472923
323,VLX150QD,VLX75QD,-0.17427396774291992,-0.175775945186615
324,VLX150QD,D60-120,0.058160603046417236,0.05960742011666298
324,VLX150QD,DLX60QD,0.08008532226085663,0.0847826898097992
324,VLX150QD,V150-225,-0.05753646045923233,-0.04982522130012512
324,VLX150QD,V75-225,-0.1463511437177658,-0.13006949424743652
324,VLX150QD,VLX75QD,-0.09106524288654327,-0.08626718819141388
325,VLX75QD,D60-120,0.030293891206383705,0.034230493009090424
325,VLX75QD,DLX60QD,0.06824924051761627,0.07239797711372375
325,VLX75QD,V150-225,0.02867714688181877,0.03207174316048622
325,VLX75QD,V75-225,-0.0003851890505757183,0.00030225375667214394
325,VLX75QD,VLX150QD,0.04241084307432175,0.04948756471276283
326,V150-225,D60-120,0.08876007795333862,0.0872628316283226
326,V150-225,DLX60QD,0.05400270223617554,0.05050881952047348
326,V150-225,V75-225,-0.22431382536888123,-0.22781726717948914
326,V150-225,VLX150QD,0.09690181910991669,0.09870810061693192
326,V150-225,VLX75QD,0.14670822024345398,0.1455964744091034
327,VLX75QD,D60-120,0.05096358805894852,0.03687434643507004
327,VLX75QD,DLX60QD,0.089970164000988,0.06913360953330994
327,VLX75QD,V150-225,0.025229591876268387,-0.0036333496682345867
327,VLX75QD,V75-225,0.016925688832998276,-0.014980029314756393
327,VLX75QD,VLX150QD,0.05653596669435501,0.03784477338194847
328,V150-225,D60-120,0.0398060604929924,0.05540558695793152
328,V150-225,DLX60QD,0.10750255733728409,0.10765586793422699
328,V150-225,V75-225,-0.10826839506626129,-0.09459035098552704
328,V150-225,VLX150QD,0.040703240782022476,0.06244749575853348
328,V150-225,VLX75QD,-0.09354542195796967,-0.08367550373077393
329,VLX150QD,D60-120,0.12398068606853485,0.11193127930164337
329,VLX150QD,DLX60QD,0.06491336971521378,0.06114296615123749
329,VLX150QD,V150-225,0.03137646242976189,0.023819562047719955
329,VLX150QD,V75-225,-0.23263254761695862,-0.23464420437812805
329,VLX150QD,VLX75QD,0.1311630755662918,0.11732848733663559
330,V75-225,D60-120,0.10020750761032104,0.10300164669752121
330,V75-225,DLX60QD,0.0660928413271904,0.06610847264528275
330,V75-225,V150-225,0.009229334071278572,0.011387456208467484
330,V75-225,VLX150QD,0.133841872215271,0.13914915919303894
330,V75-225,VLX75QD,0.12269933521747589,0.1274089515209198
331,V75-225,D60-120,0.012840951792895794,0.006874938495457172
331,V75-225,DLX60QD,0.15169382095336914,0.1400781273841858
331,V75-225,V150-225,-0.008528986014425755,-0.011662667617201805
331,V75-225,VLX150QD,0.07631538063287735,0.0693328008055687
331,V75-225,VLX75QD,0.02905753254890442,0.020581215620040894
332,DLX60QD,D60-120,0.07352222502231598,0.07370634377002716
332,DLX60QD,V150-225,-0.03723617643117905,-0.03514684736728668
332,DLX60QD,V75-225,-0.15997251868247986,-0.16029664874076843
332,DLX60QD,VLX150QD,0.03802718594670296,0.04456382617354393
332,DLX60QD,VLX75QD,-0.06822419166564941,-0.06547725200653076
333,V75-225,D60-120,0.10597793757915497,0.10497795790433884
333,V75-225,DLX60QD,0.057690806686878204,0.0640738382935524
333,V75-225,V150-225,0.0041563562117516994,0.00903787650167942
333,V75-225,VLX150QD,0.13879573345184326,0.1358964592218399
333,V75-225,VLX75QD,0.129543736577034,0.13385915756225586
334,VLX75QD,D60-120,0.062466032803058624,0.0606636181473732
334,VLX75QD,DLX60QD,0.16406211256980896,0.15811441838741302
334,VLX75QD,V150-225,-0.01828683726489544,-0.021643413230776787
334,VLX75QD,V75-225,0.01640355959534645,0.013364633545279503
334,VLX75QD,VLX150QD,0.10404261201620102,0.10350687056779861
335,D60-120,DLX60QD,0.06899070739746094,0.055640026926994324
335,D60-120,V150-225,-0.06065336614847183,-0.07629427313804626
335,D60-120,V75-225,-0.1157737746834755,-0.12464658915996552
335,D60-120,VLX150QD,0.06898690015077591,0.0891835018992424
335,D60-120,VLX75QD,0.05088471248745918,0.08085303753614426
336,DLX60QD,D60-120,0.02585824951529503,0.02544761449098587
336,DLX60QD,V150-225,0.042254041880369186,0.04801006615161896
336,DLX60QD,V75-225,0.0922539234161377,0.09440161287784576
336,DLX60QD,VLX150QD,0.06652332842350006,0.0737626701593399
336,DLX60QD,VLX75QD,-0.15682467818260193,-0.15482540428638458
337,V75-225,D60-120,0.08489802479743958,0.09100855886936188
337,V75-225,DLX60QD,0.062469832599163055,0.05480949208140373
337,V75-225,V150-225,-0.02426956035196781,-0.02557218261063099
337,V75-225,VLX150QD,0.09834802895784378,0.1169622391462326
337,V75-225,VLX75QD,0.1382213532924652,0.1362619400024414
338,DLX60QD,D60-120,-0.0188976489007473,-0.018319733440876007
338,DLX60QD,V150-225,-0.0022488965187221766,-0.005230741109699011
338,DLX60QD,V75-225,-0.0031022888142615557,-0.006667569745332003
338,DLX60QD,VLX150QD,0.022147759795188904,0.027721412479877472
338,DLX60QD,VLX75QD,-0.12216363102197647,-0.11860965937376022
339,D60-120,DLX60QD,0.06152718514204025,0.05630384013056755
339,D60-120,V150-225,-0.031033942475914955,-0.031723037362098694
339,D60-120,V75-225,-0.22531373798847198,-0.2289874255657196
339,D60-120,VLX150QD,0.10344322770833969,0.13241980969905853
339,D60-120,VLX75QD,0.14304807782173157,0.15408506989479065
340,V75-225,D60-120,0.0739467516541481,0.0766494870185852
340,V75-225,DLX60QD,0.05335085466504097,0.046231456100940704
340,V75-225,V150-225,-0.055287282913923264,-0.058587901294231415
340,V75-225,VLX150QD,0.07422484457492828,0.08135662972927094
340,V75-225,VLX75QD,0.13599911332130432,0.13574543595314026
341,V150-225,D60-120,0.1252630352973938,0.12839645147323608
341,V150-225,DLX60QD,0.09339947998523712,0.0956643596291542
341,V150-225,V75-225,-0.14094415307044983,-0.14196500182151794
341,V150-225,VLX150QD,0.07035361975431442,0.07643123716115952
341,V150-225,VLX75QD,-0.012120569124817848,-0.019884157925844193
342,D60-120,DLX60QD,0.14203965663909912,0.14129304885864258
342,D60-120,V150-225,-0.0441749282181263,-0.04948509857058525
342,D60-120,V75-225,-0.11142969131469727,-0.11726794391870499
342,D60-120,VLX150QD,0.05747345834970474,0.04775793477892876
342,D60-120,VLX75QD,-0.05888412147760391,-0.06681112945079803
343,V75-225,D60-120,0.07991316169500351,0.09002293646335602
343,V75-225,DLX60QD,0.06399928033351898,0.07105562090873718
343,V75-225,V150-225,-0.02806960418820381,-0.019500575959682465
343,V75-225,VLX150QD,0.04157157614827156,0.055978868156671524
343,V75-225,VLX75QD,-0.04732589051127434,-0.04949554428458214
344,VLX75QD,D60-120,0.10314397513866425,0.10696113854646683
344,VLX75QD,DLX60QD,0.0669829249382019,0.07253788411617279
344,VLX75QD,V150-225,0.0116425147280097,0.018581651151180267
344,VLX75QD,V75-225,-0.2411310225725174,-0.23526567220687866
344,VLX75QD,VLX150QD,0.14750108122825623,0.16147729754447937
345,V75-225,D60-120,0.06502086669206619,0.0555744394659996
345,V75-225,DLX60QD,0.2314557135105133,0.22728639841079712
345,V75-225,V150-225,0.13574852049350739,0.13366127014160156
345,V75-225,VLX150QD,0.09506897628307343,0.08740037679672241
345,V75-225,VLX75QD,-0.1578187197446823,-0.15722519159317017
346,VLX75QD,D60-120,0.08866085112094879,0.08093275874853134
346,VLX75QD,DLX60QD,0.050696782767772675,0.04627995193004608
346,VLX75QD,V150-225,-0.045375365763902664,-0.052066292613744736
346,VLX75QD,V75-225,-0.2199643850326538,-0.22309952974319458
346,VLX75QD,VLX150QD,0.08704247325658798,0.08326757699251175
347,D60-120,DLX60QD,0.16787518560886383,0.16690762341022491
347,D60-120,V150-225,0.0004180616233497858,0.0035380306653678417
347,D60-120,V75-225,0.04627493768930435,0.04742620140314102
347,D60-120,VLX150QD,0.10099532455205917,0.1030818521976471
347,D60-120,VLX75QD,0.036499906331300735,0.0386478528380394
348,DLX60QD,D60-120,-0.013252539560198784,-0.012930484488606453
348,DLX60QD,V150-225,0.034187931567430496,0.0274524949491024
348,DLX60QD,V75-225,0.06462667882442474,0.06415620446205139
348,DLX60QD,VLX150QD,0.057786233723163605,0.060620009899139404
348,DLX60QD,VLX75QD,-0.04382636398077011,-0.03857351839542389
349,D60-120,DLX60QD,0.05414549261331558,0.051511120051145554
349,D60-120,V150-225,-0.038717202842235565,-0.04350680857896805
349,D60-120,V75-225,-0.2266063243150711,-0.22043925523757935
349,D60-120,VLX150QD,0.09611259400844574,0.07494035363197327
349,D60-120,VLX75QD,0.13974136114120483,0.1298045516014099
350,D60-120,DLX60QD,0.15743818879127502,0.14802438020706177
350,D60-120,V150-225,-0.009023916907608509,-0.020716756582260132
350,D60-120,V75-225,0.023826410993933678,0.012396914884448051
350,D60-120,VLX150QD,0.096683070063591,0.09890308976173401
350,D60-120,VLX75QD,0.04906952381134033,0.06273023039102554
351,VLX75QD,D60-120,0.04099529609084129,0.04106074571609497
351,VLX75QD,DLX60QD,0.1945665031671524,0.1913127601146698
351,VLX75QD,V150-225,0.07098916172981262,0.07361046969890594
351,VLX75QD,V75-225,0.020490579307079315,0.0155568215996027
351,VLX75QD,VLX150QD,0.07446824014186859,0.07474083453416824
352,VLX75QD,D60-120,0.12420915067195892,0.1178278923034668
352,VLX75QD,DLX60QD,0.06712258607149124,0.06542234867811203
352,VLX75QD,V150-225,0.017256097868084908,0.014211319386959076
352,VLX75QD,V75-225,-0.2038070261478424,-0.19971883296966553
352,VLX75QD,VLX150QD,0.0916745513677597,0.0869390070438385
353,VLX150QD,D60-120,0.05380181223154068,0.04228665679693222
353,VLX150QD,DLX60QD,0.05050839111208916,0.05244532600045204
353,VLX150QD,V150-225,-0.06345129013061523,-0.06002603471279144
353,VLX150QD,V75-225,-0.1878104954957962,-0.17511625587940216
353,VLX150QD,VLX75QD,0.14289622008800507,0.13367076218128204
354,V150-225,D60-120,-0.028342407196760178,-0.02439829707145691
354,V150-225,DLX60QD,0.08846734464168549,0.06965579092502594
354,V150-225,V75-225,-0.10589082539081573,-0.1194273978471756
354,V150-225,VLX150QD,0.06382594257593155,0.07359708100557327
354,V150-225,VLX75QD,0.030386049300432205,0.05111455172300339
355,V150-225,D60-120,0.12775374948978424,0.1302962601184845
355,V150-225,DLX60QD,0.06529305130243301,0.06910617649555206
355,V150-225,V75-225,-0.22210904955863953,-0.21887293457984924
355,V150-225,VLX150QD,0.09615707397460938,0.10999143868684769
355,V150-225,VLX75QD,0.08603592962026596,0.09332093596458435
356,VLX150QD,D60-120,0.008257517591118813,0.005333733279258013
356,VLX150QD,DLX60QD,0.12569871544837952,0.11795264482498169
356,VLX150QD,V150-225,-0.06688530743122101,-0.07186564803123474
356,VLX150QD,V75-225,-0.12990227341651917,-0.13491982221603394
356,VLX150QD,VLX75QD,-0.0366552509367466,-0.031187284737825394
357,VLX150QD,D60-120,0.07290127128362656,0.07095644623041153
357,VLX150QD,DLX60QD,0.06989152729511261,0.08110570162534714
357,VLX150QD,V150-225,-0.008560800924897194,0.004699761979281902
357,VLX150QD,V75-225,-0.14713221788406372,-0.13836932182312012
357,VLX150QD,VLX75QD,-0.09128816425800323,-0.08566073328256607
358,D60-120,DLX60QD,0.22484879195690155,0.21895331144332886
358,D60-120,V150-225,0.12600509822368622,0.12310352176427841
358,D60-120,V75-225,0.07835279405117035,0.06757008284330368
358,D60-120,VLX150QD,0.09571818262338638,0.08770173788070679
358,D60-120,VLX75QD,-0.16712908446788788,-0.16605979204177856
359,VLX150QD,D60-120,-0.01895982399582863,-0.01891389675438404
359,VLX150QD,DLX60QD,0.06676305830478668,0.06483030319213867
359,VLX150QD,V150-225,0.003466832684352994,-0.00106025580316782
359,VLX150QD,V75-225,0.0474381148815155,0.04754195734858513
359,VLX150QD,VLX75QD,-0.11215370893478394,-0.10866144299507141
360,VLX75QD,D60-120,-0.017722461372613907,-0.012816205620765686
360,VLX75QD,DLX60QD,0.05533759668469429,0.03606635332107544
360,VLX75QD,V150-225,0.00375830614939332,-0.0066885570995509624
360,VLX75QD,V75-225,0.025598451495170593,-0.004252270329743624
360,VLX75QD,VLX150QD,0.03764434903860092,0.03092712163925171
361,V150-225,D60-120,0.09587942063808441,0.1079898327589035
361,V150-225,DLX60QD,0.06580670177936554,0.08137655258178711
361,V150-225,V75-225,-0.2264975756406784,-0.2110399305820465
361,V150-225,VLX150QD,0.1370881348848343,0.16018778085708618
361,V150-225,VLX75QD,0.12771478295326233,0.14922583103179932
362,DLX60QD,D60-120,0.11938543617725372,0.1260315328836441
362,DLX60QD,V150-225,0.0327923558652401,0.03429087996482849
362,DLX60QD,V75-225,-0.23148910701274872,-0.22952382266521454
362,DLX60QD,VLX150QD,0.16821029782295227,0.18222646415233612
362,DLX60QD,VLX75QD,0.1410532295703888,0.15590974688529968
363,VLX75QD,D60-120,0.07185648381710052,0.06674893200397491
363,VLX75QD,DLX60QD,0.05851219221949577,0.052740562707185745
363,VLX75QD,V150-225,-0.056800924241542816,-0.062242500483989716
363,VLX75QD,V75-225,-0.2024746835231781,-0.2066948413848877
363,VLX75QD,VLX150QD,0.08512704819440842,0.08068946748971939
364,DLX60QD,D60-120,0.012178955599665642,0.007263342384248972
364,DLX60QD,V150-225,-0.06957366317510605,-0.07804682850837708
364,DLX60QD,V75-225,-0.1351051777601242,-0.14383459091186523
364,DLX60QD,VLX150QD,0.050784360617399216,0.05097471922636032
364,DLX60QD,VLX75QD,-0.026930296793580055,-0.02373618632555008
365,V150-225,D60-120,0.0023513715714216232,-0.006411820184439421
365,V150-225,DLX60QD,0.14740625023841858,0.1339409351348877
365,V150-225,V75-225,0.07078796625137329,0.06035351753234863
365,V150-225,VLX150QD,0.06532762199640274,0.061604201793670654
365,V150-225,VLX75QD,-0.12133678048849106,-0.12026044726371765
366,VLX75QD,D60-120,0.00850098580121994,0.00661031948402524
366,VLX75QD,DLX60QD,0.13519816100597382,0.12344523519277573
366,VLX75QD,V150-225,-0.06059672683477402,-0.07531295716762543
366,VLX75QD,V75-225,-0.12242312729358673,-0.1405535787343979
366,VLX75QD,VLX150QD,0.05505244806408882,0.05095414072275162
367,V150-225,D60-120,0.020398413762450218,0.019313573837280273
367,V150-225,DLX60QD,0.16077139973640442,0.16281311213970184
367,V150-225,V75-225,-0.02824106439948082,-0.014657843858003616
367,V150-225,VLX150QD,0.06271074712276459,0.06666043400764465
367,V150-225,VLX75QD,-0.19757157564163208,-0.20316573977470398
368,VLX150QD,D60-120,0.06486701965332031,0.05381930619478226
368,VLX150QD,DLX60QD,0.23199331760406494,0.22713053226470947
368,VLX150QD,V150-225,0.13571865856647491,0.13487398624420166
368,VLX150QD,V75-225,0.08894568681716919,0.08320543169975281
368,VLX150QD,VLX75QD,-0.15863969922065735,-0.1576535999774933
369,V75-225,D60-120,0.012440578080713749,0.009091390296816826
369,V75-225,DLX60QD,0.1784592568874359,0.17688751220703125
369,V75-225,V150-225,0.020166251808404922,0.021403009071946144
369,V75-225,VLX150QD,0.062424249947071075,0.05921962857246399
369,V75-225,VLX75QD,-0.12071045488119125,-0.1191117912530899
370,D60-120,DLX60QD,0.1686546504497528,0.1683436781167984
370,D60-120,V150-225,-0.012247437611222267,-0.0023022848181426525
370,D60-120,V75-225,-0.07389458268880844,-0.07050427794456482
370,D60-120,VLX150QD,0.05866454169154167,0.06125207990407944
370,D60-120,VLX75QD,-0.09579496830701828,-0.09449569880962372
371,D60-120,DLX60QD,0.15475347638130188,0.1568731665611267
371,D60-120,V150-225,-0.004107851535081863,-0.010062646120786667
371,D60-120,V75-225,-0.012058290652930737,-0.014476370066404343
371,D60-120,VLX150QD,0.11143894493579865,0.11246981471776962
371,D60-120,VLX75QD,0.08376318961381912,0.07479166984558105
372,V75-225,D60-120,0.0698239728808403,0.06230174005031586
372,V75-225,DLX60QD,0.20970383286476135,0.20243969559669495
372,V75-225,V150-225,0.09588608145713806,0.08953340351581573
372,V75-225,VLX150QD,0.09266343712806702,0.08638624846935272
372,V75-225,VLX75QD,-0.17956073582172394,-0.18396176397800446
373,D60-120,DLX60QD,0.06641870737075806,0.05363190546631813
373,D60-120,V150-225,0.027100974693894386,0.013404712080955505
373,D60-120,V75-225,-0.22631506621837616,-0.23932668566703796
373,D60-120,VLX150QD,0.14418455958366394,0.1187964528799057
373,D60-120,VLX75QD,0.12301702797412872,0.10485383868217468
374,VLX75QD,D60-120,0.008250368759036064,0.011709602549672127
374,VLX75QD,DLX60QD,0.14864219725131989,0.1506265103816986
374,VLX75QD,V150-225,-0.04111715778708458,-0.03827890008687973
374,VLX75QD,V75-225,-0.09993927925825119,-0.09565483778715134
374,VLX75QD,VLX150QD,0.05500033497810364,0.06399328261613846
375,VLX75QD,D60-120,0.01844397559762001,0.01643618941307068
375,VLX75QD,DLX60QD,0.12004506587982178,0.1239350363612175
375,VLX75QD,V150-225,-0.07128934562206268,-0.059503212571144104
375,VLX75QD,V75-225,-0.1273459792137146,-0.11922664195299149
375,VLX75QD,VLX150QD,0.04448143020272255,0.049348101019859314
376,VLX75QD,D60-120,-0.006562530063092709,-0.007749564480036497
376,VLX75QD,DLX60QD,0.1046706885099411,0.11117313802242279
376,VLX75QD,V150-225,0.02067176066339016,0.027219077572226524
376,VLX75QD,V75-225,0.040991462767124176,0.048890307545661926
376,VLX75QD,VLX150QD,0.05512439087033272,0.060818735510110855
377,D60-120,DLX60QD,0.07796754688024521,0.08576487004756927
377,D60-120,V150-225,0.052978236228227615,0.058849770575761795
377,D60-120,V75-225,-0.18939843773841858,-0.18537537753582
377,D60-120,VLX150QD,0.1129252091050148,0.13997389376163483
377,D60-120,VLX75QD,0.07869531214237213,0.09668740630149841
378,D60-120,DLX60QD,0.15383169054985046,0.15039634704589844
378,D60-120,V150-225,0.03593774884939194,0.03840561956167221
378,D60-120,V75-225,0.1468265801668167,0.1486888825893402
378,D60-120,VLX150QD,0.07832236588001251,0.07937704771757126
378,D60-120,VLX75QD,-0.2113252878189087,-0.20739443600177765
379,D60-120,DLX60QD,0.06950017809867859,0.07430954277515411
379,D60-120,V150-225,-0.0673336386680603,-0.06506472826004028
379,D60-120,V75-225,-0.11896143108606339,-0.11895546317100525
379,D60-120,VLX150QD,0.06629441678524017,0.0556374117732048
379,D60-120,VLX75QD,0.0444311648607254,0.036296162754297256
380,V150-225,D60-120,0.0435318648815155,0.0445915050804615
380,V150-225,DLX60QD,0.15927466750144958,0.14888331294059753
380,V150-225,V75-225,0.04812940955162048,0.038086261600255966
380,V150-225,VLX150QD,0.11407439410686493,0.09992742538452148
380,V150-225,VLX75QD,0.02889711782336235,0.03035758063197136
381,VLX150QD,D60-120,0.06882206350564957,0.0795128121972084
381,VLX150QD,DLX60QD,0.1653488129377365,0.1663609743118286
381,VLX150QD,V150-225,-0.012980070896446705,-0.01296880841255188
381,VLX150QD,V75-225,0.015745043754577637,0.010805120691657066
381,VLX150QD,VLX75QD,0.06144008785486221,0.07737806439399719
382,V150-225,D60-120,0.043328020721673965,0.03057985194027424
382,V150-225,DLX60QD,0.0744665116071701,0.0700284093618393
382,V150-225,V75-225,-0.12311700731515884,-0.11887913942337036
382,V150-225,VLX150QD,0.024223627522587776,0.018531562760472298
382,V150-225,VLX75QD,-0.14263781905174255,-0.16080763936042786
383,D60-120,DLX60QD,0.06696135550737381,0.06841794401407242
383,D60-120,V150-225,0.021449921652674675,0.02535950019955635
383,D60-120,V75-225,-0.23001034557819366,-0.23200306296348572
383,D60-120,VLX150QD,0.16607606410980225,0.17446547746658325
383,D60-120,VLX75QD,0.13827677071094513,0.1496381163597107
384,V150-225,D60-120,-0.011115426197648048,-0.010778147727251053
384,V150-225,DLX60QD,0.07810337096452713,0.056019075214862823
384,V150-225,V75-225,-0.1173858791589737,-0.1420654058456421
384,V150-225,VLX150QD,0.056973814964294434,0.06075919419527054
384,V150-225,VLX75QD,0.04209286719560623,0.060311898589134216
385,VLX75QD,D60-120,-0.014432373456656933,-0.019430551677942276
385,VLX75QD,DLX60QD,0.1336953341960907,0.12365762144327164
385,VLX75QD,V150-225,0.031419456005096436,0.01505264826118946
385,VLX75QD,V75-225,0.06231563165783882,0.0461014062166214
385,VLX75QD,VLX150QD,0.0585269033908844,0.05286717787384987
386,VLX150QD,D60-120,0.0252353735268116,0.022582437843084335
386,VLX150QD,DLX60QD,0.12652304768562317,0.13167305290699005
386,VLX150QD,V150-225,-0.06499429047107697,-0.059961557388305664
386,VLX150QD,V75-225,-0.13006819784641266,-0.11772153526544571
386,VLX150QD,VLX75QD,-0.04906587302684784,-0.056893907487392426
387,DLX60QD,D60-120,0.031129080802202225,0.02810005284845829
387,DLX60QD,V150-225,0.007680695503950119,0.002255608793348074
387,DLX60QD,V75-225,0.054879605770111084,0.04707019031047821
387,DLX60QD,VLX150QD,0.10762282460927963,0.09963149577379227
387,DLX60QD,VLX75QD,0.03304048255085945,0.03424549102783203
388,V150-225,D60-120,0.02047412469983101,0.01617111638188362
388,V150-225,DLX60QD,0.17077171802520752,0.16804489493370056
388,V150-225,V75-225,0.004667514003813267,-0.004271367099136114
388,V150-225,VLX150QD,0.06991017609834671,0.054953575134277344
388,V150-225,VLX75QD,-0.20835785567760468,-0.21336573362350464
389,V75-225,D60-120,-0.06170392781496048,-0.06048475205898285
389,V75-225,DLX60QD,0.034675486385822296,0.02038818970322609
389,V75-225,V150-225,-0.033747293055057526,-0.037433307617902756
389,V75-225,VLX150QD,0.00017747403762768954,0.0018291198648512363
389,V75-225,VLX75QD,-0.16743192076683044,-0.15629205107688904
390,VLX75QD,D60-120,-0.0009987337980419397,-0.0021394952200353146
